,County,State,City,Pollutant,Date,total_population,cumulative_cases,cumulative_deaths,new_cases,new_deaths
59,Montgomery,Alabama,Montgomery,3.6,2020-02-27,226941.0,0,0,0.0,0.0
60,Montgomery,Alabama,Montgomery,3.6,2020-02-27,226941.0,0,0,0.0,0.0
61,Clay,Alabama,Ashland,3.7,2020-01-28,13378.0,0,0,0.0,0.0
62,Clay,Alabama,Ashland,4.9,2020-02-03,13378.0,0,0,0.0,0.0
63,Clay,Alabama,Ashland,4.2,2020-02-09,13378.0,0,0,0.0,0.0
64,Clay,Alabama,Ashland,4.3,2020-02-12,13378.0,0,0,0.0,0.0
65,Clay,Alabama,Ashland,6.2,2020-02-15,13378.0,0,0,0.0,0.0
66,Clay,Alabama,Ashland,4.0,2020-02-21,13378.0,0,0,0.0,0.0
67,Clay,Alabama,Ashland,8.4,2020-02-24,13378.0,0,0,0.0,0.0
68,Etowah,Alabama,Gadsden,6.9,2020-01-28,102939.0,0,0,0.0,0.0
69,Etowah,Alabama,Gadsden,9.5,2020-01-31,102939.0,0,0,0.0,0.0
70,Etowah,Alabama,Gadsden,7.5,2020-02-03,102939.0,0,0,0.0,0.0
71,Etowah,Alabama,Gadsden,5.2,2020-02-09,102939.0,0,0,0.0,0.0
72,Etowah,Alabama,Gadsden,3.8,2020-02-12,102939.0,0,0,0.0,0.0
73,Etowah,Alabama,Gadsden,6.1,2020-02-15,102939.0,0,0,0.0,0.0
74,Etowah,Alabama,Gadsden,2.6,2020-02-18,102939.0,0,0,0.0,0.0
75,Etowah,Alabama,Gadsden,5.1,2020-02-21,102939.0,0,0,0.0,0.0
76,Etowah,Alabama,Gadsden,7.7,2020-02-24,102939.0,0,0,0.0,0.0
77,Etowah,Alabama,Gadsden,3.9,2020-02-27,102939.0,0,0,0.0,0.0
78,Tuscaloosa,Alabama,Tuscaloosa,4.1,2020-01-25,206213.0,0,0,0.0,0.0
79,Tuscaloosa,Alabama,Tuscaloosa,7.5,2020-01-28,206213.0,0,0,0.0,0.0
