,County,State,City,Pollutant,Date
93,Russell,Alabama,Phenix City,4.1,2020-02-06
94,Russell,Alabama,Phenix City,5.2,2020-02-09
95,Russell,Alabama,Phenix City,5.4,2020-02-12
96,Russell,Alabama,Phenix City,8.2,2020-02-15
97,Russell,Alabama,Phenix City,6.4,2020-02-18
98,Russell,Alabama,Phenix City,5.4,2020-02-21
99,Russell,Alabama,Phenix City,11.3,2020-02-24
100,Russell,Alabama,Phenix City,4.6,2020-02-27
101,Russell,Alabama,Phenix City,7.6,2020-01-22
102,Russell,Alabama,Phenix City,4.8,2020-01-25
103,Russell,Alabama,Phenix City,8.4,2020-01-28
104,Russell,Alabama,Phenix City,4.3,2020-01-31
105,Russell,Alabama,Phenix City,7.3,2020-02-03
106,Russell,Alabama,Phenix City,4.1,2020-02-06
107,Russell,Alabama,Phenix City,5.2,2020-02-09
108,Russell,Alabama,Phenix City,5.5,2020-02-12
109,Russell,Alabama,Phenix City,8.1,2020-02-15
110,Russell,Alabama,Phenix City,6.3,2020-02-18
111,Russell,Alabama,Phenix City,5.2,2020-02-21
112,Russell,Alabama,Phenix City,11.2,2020-02-24
113,Russell,Alabama,Phenix City,4.8,2020-02-27
114,Russell,Alabama,Phenix City,7.4,2020-01-22
115,Russell,Alabama,Phenix City,7.9,2020-01-23
116,Russell,Alabama,Phenix City,6.7,2020-01-24
117,Russell,Alabama,Phenix City,4.7,2020-01-25
118,Russell,Alabama,Phenix City,9.2,2020-01-26
119,Russell,Alabama,Phenix City,6.2,2020-01-27
120,Russell,Alabama,Phenix City,7.4,2020-01-28
121,Russell,Alabama,Phenix City,8.8,2020-01-29
122,Russell,Alabama,Phenix City,10.1,2020-01-30
123,Russell,Alabama,Phenix City,5.5,2020-01-31
124,Russell,Alabama,Phenix City,5.3,2020-02-01
125,Russell,Alabama,Phenix City,3.9,2020-02-02
126,Russell,Alabama,Phenix City,8.0,2020-02-03
127,Russell,Alabama,Phenix City,7.9,2020-02-04
128,Russell,Alabama,Phenix City,7.0,2020-02-05
129,Russell,Alabama,Phenix City,3.7,2020-02-06
130,Russell,Alabama,Phenix City,3.2,2020-02-07
131,Russell,Alabama,Phenix City,8.3,2020-02-08
132,Russell,Alabama,Phenix City,5.2,2020-02-09
133,Russell,Alabama,Phenix City,5.1,2020-02-10
134,Russell,Alabama,Phenix City,5.7,2020-02-11
135,Russell,Alabama,Phenix City,5.1,2020-02-12
136,Russell,Alabama,Phenix City,3.9,2020-02-13
137,Russell,Alabama,Phenix City,3.3,2020-02-14
138,Russell,Alabama,Phenix City,7.4,2020-02-15
139,Russell,Alabama,Phenix City,8.4,2020-02-16
140,Russell,Alabama,Phenix City,6.1,2020-02-17
141,Russell,Alabama,Phenix City,6.3,2020-02-18
142,Russell,Alabama,Phenix City,1.8,2020-02-19
143,Russell,Alabama,Phenix City,1.3,2020-02-20
144,Russell,Alabama,Phenix City,5.8,2020-02-21
145,Russell,Alabama,Phenix City,10.8,2020-02-22
146,Russell,Alabama,Phenix City,13.1,2020-02-23
147,Russell,Alabama,Phenix City,11.7,2020-02-24
148,Russell,Alabama,Phenix City,3.8,2020-02-25
149,Russell,Alabama,Phenix City,5.1,2020-02-26
150,Russell,Alabama,Phenix City,4.1,2020-02-27
151,Russell,Alabama,Phenix City,8.7,2020-02-28
152,Russell,Alabama,Phenix City,7.3,2020-02-29
153,Santa Cruz,Arizona,Nogales,2.1,2020-01-22
154,Santa Cruz,Arizona,Nogales,9.0,2020-01-28
155,Santa Cruz,Arizona,Nogales,5.1,2020-02-03
156,Santa Cruz,Arizona,Nogales,15.8,2020-02-15
157,Santa Cruz,Arizona,Nogales,6.1,2020-02-21
158,Santa Cruz,Arizona,Nogales,8.2,2020-02-27
159,Santa Cruz,Arizona,Nogales,4.6,2020-03-04
160,Santa Cruz,Arizona,Nogales,2.9,2020-03-10
161,Santa Cruz,Arizona,Nogales,6.5,2020-03-16
162,Santa Cruz,Arizona,Nogales,12.2,2020-03-22
163,Santa Cruz,Arizona,Nogales,5.3,2020-03-28
164,Maricopa,Arizona,Phoenix,11.1,2020-01-22
165,Maricopa,Arizona,Phoenix,27.9,2020-01-25
166,Maricopa,Arizona,Phoenix,6.2,2020-01-28
167,Maricopa,Arizona,Phoenix,10.9,2020-01-31
168,Maricopa,Arizona,Phoenix,7.9,2020-02-03
169,Maricopa,Arizona,Phoenix,7.9,2020-02-06
170,Maricopa,Arizona,Phoenix,4.8,2020-02-09
171,Maricopa,Arizona,Phoenix,4.7,2020-02-12
172,Maricopa,Arizona,Phoenix,13.1,2020-02-15
173,Maricopa,Arizona,Phoenix,10.0,2020-02-18
174,Maricopa,Arizona,Phoenix,5.5,2020-02-21
175,Maricopa,Arizona,Phoenix,6.0,2020-02-24
176,Maricopa,Arizona,Phoenix,7.3,2020-02-27
177,Maricopa,Arizona,Phoenix,5.1,2020-03-01
178,Maricopa,Arizona,Phoenix,4.6,2020-03-04
179,Maricopa,Arizona,Phoenix,3.7,2020-03-07
180,Maricopa,Arizona,Phoenix,3.7,2020-03-10
181,Maricopa,Arizona,Phoenix,2.2,2020-03-13
182,Maricopa,Arizona,Phoenix,4.5,2020-03-16
183,Maricopa,Arizona,Phoenix,2.9,2020-03-19
184,Maricopa,Arizona,Phoenix,7.5,2020-03-22
185,Maricopa,Arizona,Phoenix,4.3,2020-03-25
186,Maricopa,Arizona,Phoenix,6.2,2020-03-28
187,Maricopa,Arizona,Phoenix,5.9,2020-03-31
188,Maricopa,Arizona,Mesa,11.0,2020-01-22
189,Maricopa,Arizona,Mesa,10.8,2020-01-23
190,Maricopa,Arizona,Mesa,6.4,2020-01-24
191,Maricopa,Arizona,Mesa,10.3,2020-01-25
192,Maricopa,Arizona,Mesa,10.4,2020-01-26
193,Maricopa,Arizona,Mesa,8.1,2020-01-27
194,Maricopa,Arizona,Mesa,4.1,2020-01-28
195,Maricopa,Arizona,Mesa,6.4,2020-01-29
196,Maricopa,Arizona,Mesa,4.9,2020-01-30
197,Maricopa,Arizona,Mesa,6.6,2020-01-31
198,Maricopa,Arizona,Scottsdale,9.6,2020-01-22
199,Maricopa,Arizona,Scottsdale,4.1,2020-01-28
200,Maricopa,Arizona,Scottsdale,6.6,2020-02-03
201,Maricopa,Arizona,Scottsdale,5.2,2020-02-09
202,Maricopa,Arizona,Scottsdale,4.9,2020-02-15
203,Maricopa,Arizona,Scottsdale,4.5,2020-02-21
204,Maricopa,Arizona,Scottsdale,3.3,2020-02-27
205,Maricopa,Arizona,Scottsdale,5.1,2020-03-04
206,Maricopa,Arizona,Scottsdale,3.5,2020-03-22
207,Maricopa,Arizona,Scottsdale,4.1,2020-03-28
208,Maricopa,Arizona,Scottsdale,9.6,2020-01-22
209,Maricopa,Arizona,Scottsdale,4.0,2020-01-28
210,Maricopa,Arizona,Scottsdale,6.5,2020-02-03
211,Maricopa,Arizona,Scottsdale,5.4,2020-02-09
212,Maricopa,Arizona,Scottsdale,4.5,2020-02-15
213,Maricopa,Arizona,Scottsdale,4.9,2020-02-21
214,Maricopa,Arizona,Scottsdale,3.2,2020-02-27
215,Maricopa,Arizona,Scottsdale,4.5,2020-03-04
216,Maricopa,Arizona,Scottsdale,3.7,2020-03-10
217,Maricopa,Arizona,Scottsdale,3.3,2020-03-16
218,Maricopa,Arizona,Scottsdale,3.5,2020-03-22
219,Maricopa,Arizona,Scottsdale,3.4,2020-03-28
220,Maricopa,Arizona,Phoenix,5.0,2020-01-30
221,Apache,Arizona,Nazlini (Trading Post),0.9,2020-01-22
222,Apache,Arizona,Nazlini (Trading Post),0.8,2020-01-28
223,Apache,Arizona,Nazlini (Trading Post),1.8,2020-02-03
224,Apache,Arizona,Nazlini (Trading Post),1.5,2020-02-09
225,Apache,Arizona,Nazlini (Trading Post),1.2,2020-02-15
226,Apache,Arizona,Nazlini (Trading Post),2.2,2020-02-21
227,Apache,Arizona,Nazlini (Trading Post),0.9,2020-02-27
228,Apache,Arizona,Nazlini (Trading Post),1.2,2020-03-04
229,Apache,Arizona,Nazlini (Trading Post),1.3,2020-03-16
230,Apache,Arizona,Nazlini (Trading Post),1.7,2020-03-22
231,Apache,Arizona,Nazlini (Trading Post),0.6,2020-03-28
232,Apache,Arizona,Nazlini (Trading Post),2.1,2020-04-03
233,Apache,Arizona,Nazlini (Trading Post),1.1,2020-04-09
234,Apache,Arizona,Nazlini (Trading Post),2.1,2020-04-15
235,Apache,Arizona,Nazlini (Trading Post),2.8,2020-04-21
236,Apache,Arizona,Nazlini (Trading Post),1.0,2020-01-22
237,Apache,Arizona,Nazlini (Trading Post),0.6,2020-01-28
238,Apache,Arizona,Nazlini (Trading Post),2.1,2020-02-03
239,Apache,Arizona,Nazlini (Trading Post),1.2,2020-02-09
240,Apache,Arizona,Nazlini (Trading Post),1.2,2020-02-15
241,Apache,Arizona,Nazlini (Trading Post),2.6,2020-02-21
242,Apache,Arizona,Nazlini (Trading Post),1.1,2020-02-27
243,Apache,Arizona,Nazlini (Trading Post),1.3,2020-03-04
244,Apache,Arizona,Nazlini (Trading Post),1.3,2020-03-16
245,Apache,Arizona,Nazlini (Trading Post),1.8,2020-03-22
246,Apache,Arizona,Nazlini (Trading Post),1.6,2020-03-28
247,Apache,Arizona,Nazlini (Trading Post),2.1,2020-04-03
248,Apache,Arizona,Nazlini (Trading Post),1.9,2020-04-09
249,Apache,Arizona,Nazlini (Trading Post),2.1,2020-04-15
250,Apache,Arizona,Nazlini (Trading Post),3.1,2020-04-21
251,Apache,Arizona,Nazlini (Trading Post),2.5,2020-04-27
252,Maricopa,Arizona,Phoenix,12.0,2020-01-22
253,Maricopa,Arizona,Phoenix,14.4,2020-01-23
254,Maricopa,Arizona,Phoenix,9.1,2020-01-24
255,Maricopa,Arizona,Phoenix,11.8,2020-01-25
256,Maricopa,Arizona,Phoenix,17.0,2020-01-26
257,Maricopa,Arizona,Phoenix,8.5,2020-01-27
258,Maricopa,Arizona,Phoenix,5.9,2020-01-28
259,Maricopa,Arizona,Phoenix,8.2,2020-01-29
260,Maricopa,Arizona,Phoenix,4.1,2020-01-30
261,Maricopa,Arizona,Phoenix,6.0,2020-01-31
262,Maricopa,Arizona,Phoenix,9.8,2020-01-22
263,Maricopa,Arizona,Phoenix,16.2,2020-01-23
264,Maricopa,Arizona,Phoenix,15.9,2020-01-24
265,Maricopa,Arizona,Phoenix,16.2,2020-01-25
266,Maricopa,Arizona,Phoenix,17.4,2020-01-26
267,Maricopa,Arizona,Phoenix,14.6,2020-01-27
268,Maricopa,Arizona,Phoenix,9.7,2020-01-28
269,Maricopa,Arizona,Phoenix,10.3,2020-01-29
270,Maricopa,Arizona,Phoenix,9.1,2020-01-30
271,Maricopa,Arizona,Phoenix,14.4,2020-01-31
272,Maricopa,Arizona,Phoenix,9.4,2020-01-22
273,Maricopa,Arizona,Phoenix,12.8,2020-01-23
274,Maricopa,Arizona,Phoenix,15.7,2020-01-24
275,Maricopa,Arizona,Phoenix,17.3,2020-01-25
276,Maricopa,Arizona,Phoenix,21.9,2020-01-26
277,Maricopa,Arizona,Phoenix,13.8,2020-01-27
278,Maricopa,Arizona,Phoenix,5.0,2020-01-28
279,Maricopa,Arizona,Phoenix,11.4,2020-01-29
280,Maricopa,Arizona,Phoenix,7.5,2020-01-30
281,Maricopa,Arizona,Phoenix,12.1,2020-01-31
282,Maricopa,Arizona,Phoenix,14.0,2020-01-22
283,Maricopa,Arizona,Phoenix,17.6,2020-01-23
284,Maricopa,Arizona,Phoenix,14.5,2020-01-24
285,Maricopa,Arizona,Phoenix,34.1,2020-01-25
286,Maricopa,Arizona,Phoenix,18.2,2020-01-26
287,Maricopa,Arizona,Phoenix,15.8,2020-01-27
288,Maricopa,Arizona,Phoenix,5.8,2020-01-28
289,Maricopa,Arizona,Phoenix,6.4,2020-01-29
290,Maricopa,Arizona,Phoenix,3.3,2020-01-30
291,Maricopa,Arizona,Phoenix,11.3,2020-01-31
292,Maricopa,Arizona,Phoenix,39.2,2020-02-01
293,Maricopa,Arizona,Phoenix,11.9,2020-02-02
294,Maricopa,Arizona,Phoenix,7.7,2020-02-03
295,Maricopa,Arizona,Phoenix,2.9,2020-02-04
296,Maricopa,Arizona,Phoenix,5.0,2020-02-05
297,Maricopa,Arizona,Phoenix,7.3,2020-02-06
298,Maricopa,Arizona,Phoenix,13.7,2020-02-07
299,Maricopa,Arizona,Phoenix,16.6,2020-02-08
300,Maricopa,Arizona,Phoenix,5.4,2020-02-09
301,Maricopa,Arizona,Phoenix,5.8,2020-02-10
302,Maricopa,Arizona,Phoenix,0.7,2020-02-11
303,Maricopa,Arizona,Phoenix,4.5,2020-02-12
304,Maricopa,Arizona,Phoenix,10.0,2020-02-13
305,Maricopa,Arizona,Phoenix,11.1,2020-02-14
306,Maricopa,Arizona,Phoenix,14.1,2020-02-15
307,Maricopa,Arizona,Phoenix,11.4,2020-02-16
308,Maricopa,Arizona,Phoenix,11.7,2020-02-17
309,Maricopa,Arizona,Phoenix,11.5,2020-02-18
310,Maricopa,Arizona,Phoenix,16.1,2020-02-19
311,Maricopa,Arizona,Phoenix,9.0,2020-02-20
312,Maricopa,Arizona,Phoenix,5.5,2020-02-21
313,Maricopa,Arizona,Phoenix,5.5,2020-02-22
314,Maricopa,Arizona,Phoenix,6.2,2020-02-23
315,Maricopa,Arizona,Phoenix,5.9,2020-02-24
316,Maricopa,Arizona,Phoenix,1.2,2020-02-25
317,Maricopa,Arizona,Phoenix,2.2,2020-02-26
318,Maricopa,Arizona,Phoenix,7.6,2020-02-27
319,Maricopa,Arizona,Phoenix,10.2,2020-02-28
320,Maricopa,Arizona,Phoenix,10.7,2020-02-29
321,Maricopa,Arizona,Phoenix,6.2,2020-03-01
322,Maricopa,Arizona,Phoenix,3.8,2020-03-02
323,Maricopa,Arizona,Phoenix,2.9,2020-03-03
324,Maricopa,Arizona,Phoenix,4.6,2020-03-04
325,Maricopa,Arizona,Phoenix,6.2,2020-03-05
326,Maricopa,Arizona,Phoenix,3.5,2020-03-06
327,Maricopa,Arizona,Phoenix,3.4,2020-03-07
328,Maricopa,Arizona,Phoenix,4.4,2020-03-08
329,Maricopa,Arizona,Phoenix,5.4,2020-03-09
330,Maricopa,Arizona,Phoenix,4.4,2020-03-10
331,Maricopa,Arizona,Phoenix,3.7,2020-03-11
332,Maricopa,Arizona,Phoenix,4.4,2020-03-12
333,Maricopa,Arizona,Phoenix,2.2,2020-03-13
334,Maricopa,Arizona,Phoenix,4.8,2020-03-14
335,Maricopa,Arizona,Phoenix,6.0,2020-03-15
336,Maricopa,Arizona,Phoenix,4.8,2020-03-16
337,Maricopa,Arizona,Phoenix,3.0,2020-03-17
